value,Title
-1.12422,Heights of New York Choral Society Singers
-1.16433,
-1.34911,
-0.94544,
-0.65367,
-0.17833,
-0.11711,
-0.28167,
-1.19522,
-1.43289,
-2.00689,
-0.77333,
0.18578,
1.50567,
1.59089,
1.18456,
1.15633,
1.15167,
1.23289,
1.65833,
2.13478,
1.34711,
-0.44689,
-1.96333,
-1.66422,
-0.56433,
-0.66911,
-0.99544,
-1.28367,
-1.49833,
-1.60711,
-2.11167,
-2.85522,
-1.25289,
0.78311,
1.01667,
1.20578,
0.11567,
-2.08911,
-2.00544,
-1.36367,
-1.67833,
-2.50711,
-3.58167,
-4.35522,
-3.62289,
-3.78689,
-3.82333,
-3.55422,
-2.04433,
-2.53911,
-0.61544,
-0.31367,
-0.37833,
-0.50711,
-1.10167,
-1.59522,
-1.25289,
-1.78689,
-0.26333,
0.54578,
1.01567,
1.28089,
1.63456,
1.59633,
1.34167,
1.16289,
1.52833,
2.51478,
0.94711,
0.16311,
0.77667,
0.75578,
0.36567,
1.05089,
1.47456,
1.54633,
1.56167,
1.24289,
0.50833,
-1.84522,
-3.21289,
-1.86689,
-3.37333,
-3.09422,
-1.76433,
-0.20911,
0.06456,
-0.18367,
0.11167,
0.48289,
0.84833,
0.99478,
0.30711,
-0.11689,
0.50667,
1.29578,
-0.51433,
-0.26911,
-0.13544,
0.30633,
-0.01833,
0.01289,
0.22833,
0.05478,
-2.08289,
-1.12689,
0.46667,
-0.17422,
-2.17433,
-3.99911,
-4.20544,
-3.23367,
-2.77833,
-2.70711,
-2.48167,
-1.52522,
0.77711,
0.86311,
0.60667,
1.60578,
1.25567,
0.69089,
0.52456,
0.51633,
0.71167,
1.08289,
1.63833,
3.07478,
3.89711,
2.68311,
2.51667,
1.13578,
-0.13433,
0.05089,
0.26456,
0.63633,
0.84167,
0.59289,
0.33833,
1.15478,
0.90711,
-0.61689,
-1.83333,
-0.13422,
0.77567,
1.24089,
0.95456,
0.70633,
0.09167,
-0.13711,
-0.33167,
-0.73522,
-1.13289,
-1.54689,
0.05667,
0.07578,
0.49567,
0.66089,
-0.09544,
-0.66367,
-0.92833,
-1.17711,
-2.72167,
-4.54522,
-4.16289,
-2.36689,
-2.51333,
-1.11422,
-1.63433,
-2.96911,
-2.25544,
-1.40367,
-0.85833,
-1.48711,
-2.84167,
-2.13522,
-1.07289,
0.68311,
1.01667,
0.29578,
-0.40433,
1.26089,
1.72456,
1.19633,
1.15167,
0.75289,
0.22833,
-0.35522,
-0.29289,
-0.00689,
0.08667,
0.79578,
-0.18433,
-1.02911,
-0.92544,
-0.93367,
-1.23833,
-1.58711,
-1.47167,
-1.56522,
-1.62289,
-0.55689,
-0.80333,
0.94578,
1.31567,
1.24089,
1.11456,
0.67633,
0.73167,
1.17289,
1.82833,
2.58478,
2.43711,
1.94311,
0.34667,
0.70578,
0.46567,
0.66089,
1.03456,
1.54633,
1.38167,
1.01289,
0.88833,
1.02478,
-0.25289,
-0.97689,
0.81667,
1.04578,
1.17567,
1.47089,
1.82456,
1.69633,
1.78167,
1.79289,
2.28833,
3.60478,
4.39711,
2.65311,
1.59667,
2.10578,
2.88567,
2.19089,
1.36456,
0.75633,
0.57167,
0.71289,
0.93833,
1.19478,
0.42711,
-0.70689,
-0.81333,
0.56578,
0.20567,
-1.47911,
-2.40544,
-2.61367,
-1.96833,
-1.31711,
-1.40167,
-2.93522,
-0.79289,
0.52311,
0.21667,
0.55578,
-0.00433,
0.54089,
1.00456,
0.82633,
0.68167,
0.93289,
1.21833,
1.95478,
1.21711,
-0.62689,
-0.50333,
-1.43422,
-3.68433,
-3.73911,
-5.83544,
-6.99367,
-6.08833,
-5.79711,
-6.36167,
-4.59522,
-3.93289,
-1.73689,
-0.20333,
0.10578,
0.84567,
0.89089,
0.28456,
0.06633,
-0.01833,
-0.27711,
-0.18167,
0.00478,
0.40711,
1.11311,
1.14667,
-1.00422,
-0.36433,
1.21089,
1.09456,
0.96633,
0.91167,
0.61289,
0.23833,
-1.38522,
-0.60289,
-0.02689,
-1.17333,
-1.53422,
-2.09433,
-2.38911,
-0.78544,
0.01633,
0.48167,
0.25289,
0.40833,
0.54478,
-0.85289,
-1.30689,
-0.72333,
-0.72422,
0.02567,
0.23089,
0.26456,
0.15633,
0.05167,
0.26289,
0.47833,
0.87478,
0.74711,
0.02311,
-0.83333,
-0.92422,
-1.05433,
-0.67911,
-0.54544,
-0.61367,
-0.96833,
-1.53711,
-2.52167,
-2.98522,
-1.34289,
-0.27689,
-0.60333,
0.58578,
1.80567,
1.60089,
1.09456,
0.59633,
0.19167,
0.12289,
0.17833,
0.23478,
-0.13289,
-0.44689,
-0.97333,
-0.32422,
0.15567,
0.31089,
0.32456,
0.40633,
0.48167,
0.57289,
-0.26167,
-2.75522,
-2.30289,
-1.17689,
-0.66333,
-0.70422,
-0.00433,
0.60089,
0.36456,
0.29633,
0.02167,
0.29289,
0.99833,
2.19478,
2.68711,
3.02311,
2.54667,
1.41578,
0.84567,
0.72089,
0.43456,
0.00633,
0.09167,
-0.09711,
-0.24167,
-0.18522,
-0.77289,
-1.82689,
-0.48333,
-0.54422,
-0.06433,
-0.25911,
-0.19544,
