Country,1960,1961,1962,1963,1964,Title,X-title,Y-title
Peru,490.8568749,630.204313,663.683818,973.1543624,1204.32513,Military expenditure across countries,Cost in lakhs,Country
Thailand,628.2516122,587.4140486,803.0373418,855.012698,872.3557692,,,
Malaysia,512.8674189,424.6672895,437.7339753,607.6008911,846.0679076,,,
Jordan,561.3997754,555.099778,604.0997584,618.7997525,618.7997525,,,
Nigeria,233.7999065,282.7998869,386.3998454,454.999818,543.1997827,,,
Sudan,186.6743251,205.0545663,248.420448,281.447444,418.7248708,,,
Ireland,258.0059011,275.6473302,291.6348753,302.1094739,360.5467079,,,
Ghana,208.2177735,274.542103,279.4446405,310.9609534,333.0223724,,,
Libya,55.71997771,71.67997133,166.8799332,186.7599253,214.7599141,,,
Ecuador,224,187,183,171,206,,,
Sri Lanka,166.5301665,170.8351708,158.4976585,139.1776392,139.3876394,,,
